tweet,sentiment
"['endorse', 'sensor', 'samsul']",1
"['buka', 'berbayar', 'mempromosikan', 'himhi', 'menyapa', 'kawan', 'daring', 'mempromosikan', 'produk', 'anggaran', 'terbatas', 'solusi', 'divisi', 'diplomasi', 'himpunan', 'mahasiswa', 'hubungan', 'internasional', 'universitas', 'pasundan', 'buka', 'berbayar', 'mempromosikan', 'nih']",1
"['orang', 'jaket', 'fans', 'ultah', 'dimana', 'berpakaian', 'sepeda', 'malam', 'foto', 'endorse']",1
"['nur', 'azmira', 'zaimi', 'kulit', 'influencer', 'azwa', 'ezzatie', 'wardah', 'stok', 'menginspirasi', 'acara', 'tips', 'mengelola', 'murid', 'pengusaha', 'nur', 'syazana', 'pengusaha', 'muda', 'emylia', 'farhani', 'majelis', 'perwakilan', 'pelajar', 'uitm', 'menyarankan']",1
"['buka', 'berbayar', 'mempromosikan', 'parade', 'paud', 'berbayar', 'mempromosikan', 'murah', 'tepercaya', 'menghubungi', 'berminat', 'membalas', 'tweet', 'paidpromote', 'paidpromote', 'paidpromote', 'paidpromote', 'olshop', 'onlineshopping', 'olshop', 'lelang', 'akun', 'aksi']",1
"['halo', 'barang', 'murah', 'menikmati', 'postingan', 'sebentar', 'orang', 'mahal', 'curhat', 'teman', 'influencer', 'dunia', 'permotoran']",1
"['berbicara', 'nada', 'selebgram', 'cicip', 'makanan', 'endorse']",1
"['influencer', 'lelaki', 'mengaku', 'bersalah', 'berhantaran', 'jelek']",0
"['dipanggilkan', 'influencer', 'suka', 'tebak', 'dimana', 'gatau', 'anjing']",1
"['endorsement', 'endorsement']",1
"['pengalaman', 'sebulan', 'nasabah', 'seabank', 'indonesia', 'pengingkaran', 'endorse', 'asli', 'jail', 'coba', 'penasaran', 'subjektif', 'pilihan']",0
"['sukses', 'menjalani', 'pekerjaan', 'influencer', 'indonesia', 'awkarin', 'mencoba', 'peruntungan', 'mengikuti', 'kelangsungan', 'idola', 'korea']",1
"['sahabat', 'influencer']",1
"['influencer', 'pemasaran']",1
"['cimori', 'kirim', 'endorse']",1
"['eunha', 'masuk', 'agensi', 'menyimpan', 'nomor', 'endorse', 'email', 'acara', 'bio', 'instagram']",0
"['frisian', 'bendera', 'endorse']",0
"['romakelapa', 'endorse', 'gua', 'mengenalkan', 'makan']",1
"['tawan v', 'tawan v', 'butuh', 'bawahan', 'pemasaran', 'biar', 'endorse', 'pegawai', 'bonus', 'pegawai', 'hati', 'ikhlas', 'mengundurkan', 'pegawai', 'seumur', 'hidup']",1
"['biskuat', 'tolong', 'endorse', 'idola']",1
"['hai', 'berbayar', 'mempromosikan']",1
"['endorse', 'kerupuk']",1
"['teriak', 'fajar', 'endorse']",0
"['pas', 'buka', 'endorse', 'lembek']",1
"['endorse', 'kakak']",1
"['ratu', 'butuh', 'endorsement', 'rupa']",1
"['terpaksa', 'gegara', 'berbayar', 'mempromosikan', 'kakak', 'terpaksa', 'menawar', 'mencari', 'tambahan', 'masukan', 'keperluan', 'hidup']",0
['endorse'],1
"['endorse', 'fadiljaidi']",1
"['nolla', 'mempromosikan', 'berbayar', 'mempromosikan']",1
"['endorse', 'nagitasalvina', 'palsu', 'pikiran', 'dibilang', 'keras']",1
"['sadar', 'sih', 'beli', 'endorse', 'kasih', 'barang', 'bau', 'indonesia', 'batik', 'tas', 'jarang', 'banget', 'berguna', 'vlog', 'menongkrong', 'kawan', 'bilang', 'berguna', 'menongkrong', 'bareng']",1
"['kayaknya', 'endorse', 'kakak', 'post', 'kayaknya', 'konten', 'skincare']",0
"['roket', 'rockers', 'roket', 'ayam', 'pura', 'pura', 'salah', 'ketik', 'menangkap', 'avkor', 'hyung', 'penikmat', 'postingan', 'akun', 'meme', 'berpakaian', 'rubrik', 'sesak', 'bajingan', 'endorse', 'masuk', 'menyegani', 'lingkaran', 'sahabat']",0
"['keren', 'buka', 'endorse']",1
"['menemukan', 'kalimat', 'salah', 'kolom', 'komentar', 'youtube', 'influencer', 'heran', 'heran', 'bener']",1
"['semoga', 'endorse', 'gudang', 'garam', 'gondrong']",1
['endorse'],1
['ulasan'],1
"['endorse', 'lumayan', 'beli', 'pelumas']",1
"['skandal', 'sensasi', 'dateng', 'endorse']",0
"['penjual', 'endorse', 'senang', 'main', 'respon', 'beli', 'niat', 'banget', 'fadiljaidi', 'endorse', 'lucu', 'menghibur', 'endorse', 'fadiljaidi', 'capek', 'berbicara', 'gerak', 'gitu']",1
"['sepatutnya', 'endorse', 'endorse']",1
"['ketagihan', 'endorse', 'model', 'dikasih', 'drama', 'gaya', 'gaya', 'kemalingan', 'dll', 'bener', 'banget', 'dampak', 'mengajak', 'keluarga', 'keluarga']",1
"['ciri', 'ciri', 'orang', 'endorse', 'scarlet']",1
"['tertawa', 'amin', 'banget', 'beneran', 'endorse', 'pastikan', 'tertawa']",1
"['bilang', 'sindir', 'endorse', 'tawa']",0
"['kaget', 'holland', 'toko', 'gamau', 'endorse', 'lemper', 'enak', 'pol']",1
"['sebentar', 'gua', 'buka', 'endorse', 'tinggal']",0
"['salah', 'pocky', 'mengenang', 'endorse']",0
['endorse'],1
"['berbayar', 'mempromosikan', 'iya', 'denda', 'iya']",1
"['celebrity', 'buka', 'endorse', 'nih']",1
"['target', 'pasar', 'beda', 'kakak', 'endorse', 'tonton', 'tanding', 'idola', 'tonton', 'fans', 'tonton', 'data', 'target', 'endorse']",0
"['sepatutnya', 'ayahanda', 'endorse']",1
"['coba', 'tonton', 'hadeh', 'youtube', 'tipe', 'kulit', 'kayak', 'ulasan', 'produk']",0
"['hujan', 'kakak', 'ulasan']",1
"['iyak', 'totalitas', 'banget', 'endorse']",0
"['ketawa', 'sabar', 'kakak', 'cari', 'followers', 'endorse', 'iklan']",1
['endorse'],1
"['dibayar', 'wadimor', 'endorse']",1
"['selebtwit', 'buka', 'berbayar', 'mempromosikan', 'sebentar', 'ikoy', 'ikoy']",1
"['gaada', 'follow', 'nih', 'endorse', 'mejarab']",0
"['makanan', 'endorse', 'heran', 'mengkhawatirkan', 'krim', 'taza', 'jamu', 'sebentar']",1
"['berdua', 'endorse']",1
['endorse'],1
"['dialektika', 'berbobot', 'kaum', 'nonmuslim', 'organisasi', 'ujung', 'menulis', 'saingan', 'ahok', 'mengakui', 'anies', 'baswedan', 'kepintaran', 'cari', 'dukungan', 'endorse', 'organisasi', 'stok', 'orang', 'tol']",1
"['interaksi', 'anjir', 'buka', 'endorse']",1
"['jujur', 'ulasan', 'menipu', 'menipu', 'endorse']",1
"['sih', 'endorse']",1
"['jisun', 'endorse']",1
"['sebentar', 'isi', 'story', 'berbayar', 'mempromosikan', 'februari']",1
"['biar', 'endorse', 'jagung', 'sindiran', 'kellogs']",0
"['ketawa', 'sebentar', 'endorse']",1
"['menabung', 'heran', 'endorse', 'udah', 'sogok', 'polisi']",1
"['teriak', 'influencer', 'dadah']",0
"['kazunari', 'pesanan', 'endorse', 'makanan', 'udah', 'makan', 'kayaknya', 'diam']",1
"['penasaran', 'produk', 'whitelab', 'ulasan', 'bagus', 'bagus', 'produknya', 'cocok', 'coba', 'sedih', 'semoga', 'salah', 'beruntung', 'coba', 'produk', 'whitelab', 'ikutan', 'yuk']",1
"['memikat', 'endorsement']",1
['endorse'],1
"['endorse', 'doang', 'kakak']",1
"['gergaji', 'menyebabkan', 'disana', 'tidak ada', 'angka', 'kakek', 'kacau', 'warisan', 'muda', 'upko', 'pribadi', 'endorse', 'disana', 'mengatur', 'wabah']",1
"['kena', 'pas', 'endorse', 'produk', 'toko', 'shopee']",1
"['gapake', 'berpakaian', 'shampoo', 'dove', 'ayo', 'dove', 'endorse']",1
"['langsung', 'endorse', 'hadeh', 'adek', 'vega', 'bangga', 'ayahanda', 'endorse']",1
"['endorse', 'gus', 'guys', 'biar', 'biar', 'muncul', 'podcast']",1
"['endorse', 'cinta', 'obat', 'nih']",1
"['tolong', 'ajar', 'sikap', 'suasana', 'berduka', 'endorse', 'suasana']",1
"['viral', 'kakak', 'sebentar', 'followers', 'endorse', 'maaf', 'netizen', 'viral']",1
"['ulasan', 'kakak', 'adik', 'mari', 'coba']",1
"['banget', 'ceria', 'banget', 'isi', 'endorse', 'postingan', 'jail', 'kayaknya', 'pilih', 'beralih', 'gelembung', 'aneh']",1
"['iyak', 'sindir', 'merek', 'suka', 'endorse', 'majalah', 'makmur', 'banget', 'gaya', 'ide', 'beda', 'beda']",0
"['lihat', 'endorsement']",1
"['endorse', 'sih', 'ketawa']",1
"['sekeluarga', 'kocak', 'kayaknya', 'story', 'ibunda', 'ikutan', 'drama', 'endorse']",0
"['influencer', 'nasi', 'goreng', 'kuah']",1
"['tanda', 'pertanda', 'alam', 'konten', 'beralih', 'pekerjaan', 'celebrity', 'tiktok', 'youtube', 'endorse', 'jualan', 'barang']",1
"['serakah', 'tidak tahu', 'endorse']",1
"['cemburu', 'endorse', 'alfamart', 'nih', 'iyek']",0
"['ketua', 'partai', 'waknat', 'kena', 'zikir', 'hilman', 'hilman', 'hilman', 'anak', 'tindakan', 'kotor', 'untung', 'influencer', 'taruh', 'kepala', 'kepala']",1
"['bawel', 'endorse', 'percaya']",0
"['menggelikan', 'biar', 'endorse', 'kukuh', 'banget']",1
"['heran', 'ajakan', 'fanbase', 'endorse', 'aduh', 'melewati']",1
"['bilang', 'exo', 'dibayar', 'berpakaian', 'beras', 'tampil', 'salah', 'ya', 'endorse', 'sih', 'pokoknya', 'dibayar', 'beras']",1
"['endorse', 'caper']",0
['endorse'],1
"['gratis', 'karina', 'jago', 'maaf', 'kakak', 'endorse', 'bebelac']",1
"['gratis', 'karina', 'jago', 'maaf', 'kakak', 'endorse', 'bebelac']",1
"['sayang', 'lambung', 'sobat', 'endorse', 'stanley']",1
"['berpakaian', 'semboyan', 'semboyan', 'endorse', 'bukit', 'algoritma', 'ketawa']",1
"['terima', 'endorse', 'beli', 'terguna', 'uang']",1
"['sesak', 'endorsement', 'iya', 'agatha', 'semoga', 'liburan', 'lucu', 'banget', 'adopsi', 'kucing', 'menambah', 'kucing', 'cici', 'totalnya']",1
"['kiro', 'sing', 'berbicara', 'jerinxsid', 'endorse', 'vaksin', 'kakak']",1
"['tertawa', 'iya', 'bener', 'banget', 'lebih baik', 'memperbanyak', 'story', 'endorse', 'akun']",1
"['ibunda', 'balon', 'biru', 'semangat', 'banget', 'endorse', 'mandi', 'udah', 'cantik']",1
"['lihat', 'ulasan', 'produk', 'jualan', 'kakak', 'jual', 'cerave', 'varian', 'ulasan', 'oke', 'asli', 'sih']",1
"['heran', 'kerja', 'uang', 'orang', 'menuduh', 'pasang', 'harga', 'endorse', 'terima', 'uang', 'pemerintah', 'sesuai', 'harga']",1
"['endorsement', 'kena', 'pajak', 'pendapatan', 'heran', 'mencocok', 'pengeluaran', 'anggaran', 'selebgram']",1
['endorse'],1
"['iya', 'pikir', 'endorse']",1
"['wibu', 'dikenal', 'anime', 'otaku', 'otaku', 'kayak', 'kasta', 'terendah', 'kehidupan', 'sosial', 'semenjak', 'influencer', 'mengakui', 'wibu', 'kemajuan', 'sosial', 'media', 'kasta', 'langsung', 'mengemuka', 'drastis']",1
"['cinta', 'makarizo', 'endorse', 'ya', 'ketawa']",1
"['anak', 'cacat', 'inspeksi', 'miss', 'menyediakan', 'menyelesaikan', 'laporan', 'laik', 'klasik', 'penilai', 'endorsement', 'harga', 'murah', 'murah']",1
"['asik', 'endorse']",1
"['dipanggilkan', 'endorsement', 'senyap', 'heran', 'hantu']",1
"['sebanding', 'bayar', 'influencer', 'tayang', 'badan', 'muka', 'suplemen']",1
"['kaget', 'endorse']",1
"['endorse', 'artis', 'tokoh', 'masyarakat', 'vaksin', 'temenin', 'ahli', 'bener', 'bener', 'menggiatkan', 'vaksin', 'harinya']",1
"['endorse', 'totalitas', 'niat', 'banget', 'tolong']",1
"['cari', 'endorse', 'artis', 'teriak', 'cari', 'merekomendasi', 'kawan', 'terdekat', 'toko']",0
"['rumah', 'sih', 'ulasan']",1
"['heran', 'sebentar', 'kemarin', 'endorse', 'dibilang', 'ryu', 'jeon', 'yeol', 'ketahuan', 'orang', 'korea']",1
"['menemukan', 'pujian', 'fadiljaidi', 'endorse', 'celebrity', 'suka', 'sah', 'niat', 'udah', 'endorse', 'fadiljaidi', 'endorse', 'niat', 'banget', 'bersyukur', 'mengecewakan', 'orang']",1
"['iya', 'anjir', 'endorse', 'laku']",1
"['suka', 'sebentar', 'endorse']",1
"['biar', 'seru', 'endorse']",1
"['iyak', 'anjir', 'produk', 'penempatan', 'jelek', 'lihat', 'drama korea', 'endorse', 'elegan', 'memaksa']",0
"['suka', 'lupa', 'endorse', 'fadiljaidi', 'ketawa', 'semalam', 'jail', 'cari', 'berbagi', 'endorse']",1
"['ketawa', 'endorse', 'terniat', 'membosankan']",1
"['terguna', 'aplikasi', 'saran', 'membaca', 'ulasan', 'mandiri', 'terkadang', 'salah kostum', 'baku', 'menulis', 'laki', 'salah kostum', 'kaki', 'terhapus']",0
"['cakap', 'endorse', 'orang', 'berdiri', 'orang', 'azmin', 'azmin', 'heran', 'orang', 'anak', 'mukhriz', 'mukhriz', 'heran', 'tegakkan', 'video', 'merekam']",1
"['endorsement', 'inka', 'peliharaan', 'mengisi', 'hai', 'kepadamu', 'kayak']",1
"['endorse', 'pasrah', 'beneran', 'jualan']",1
"['iya', 'selebgram', 'gabisa', 'endorse', 'ketawa']",1
"['iya', 'suka', 'kpop', 'kaget', 'banget', 'barang', 'fansite', 'barang', 'kolaborasi', 'endorse', 'sabar', 'kakak']",1
"['kpop', 'takut', 'tangkap', 'ahok', 'nyerah', 'influencer', 'kpk', 'kpk']",0
"['elizabeth', 'zenifer', 'heran', 'favorite', 'ibunda', 'langsung', 'terbayang', 'ulasan']",1
"['konten', 'gila', 'selangkah', 'endorse']",1
['endorse'],1
"['tunggu', 'endorse']",1
"['sayang', 'endorse', 'handuk']",1
"['fadiljaidi', 'endorse', 'handuk', 'sumpah', 'ngakak', 'banget']",1
"['laki', 'terkenal', 'manfaatkan', 'cari', 'followers', 'endorse', 'ibunda']",1
"['heran', 'sisa', 'ibunda', 'menikmati', 'endorse', 'air', 'mineral', 'galon']",1
"['mengejek', 'gatau', 'udah', 'endorse', 'obat', 'peninggi']",0
"['buka', 'endorse']",1
"['endorse', 'langsung']",1
"['toko', 'tokopedia', 'harga', 'kakak', 'ulasan', 'overheardbeauty', 'bagus']",1
"['rugi', 'banget', 'sih', 'endorse', 'fadiljaidi', 'maksimal', 'banget', 'mempromosikan', 'warna', 'tersedia']",1
"['gegara', 'fadiljaidi', 'gua', 'usaha', 'baju', 'endorse', 'doang', 'ketawa']",1
"['namanya', 'parsah', 'pabrik', 'endorse', 'bolong', 'saku', 'kakak', 'lili']",0
"['kakak', 'bercanda', 'memasukan', 'saku', 'besok', 'xingxing', 'endorse', 'cireng', 'berpakaian', 'baju']",0
"['taruh', 'kaosnya', 'biar', 'berasa', 'endorse', 'yujin']",1
"['perpanjangan', 'tangan', 'kepentingan', 'prof', 'jenderal', 'bersih', 'endorse']",1
"['kemarin', 'perasaan', 'harga', 'sebentar', 'endorse', 'keripik', 'kaca']",1
"['tertawa', 'kapoke', 'endorse']",1
"['abu', 'jahal', 'sakit', 'endorse']",0
"['endorse', 'merek']",1
"['aneh', 'sekalinya', 'memperbarui', 'endorse']",1
['endorse'],1
"['endorse', 'gimana']",1
"['mengantongi', 'endorse', 'podcast', 'kopi', 'oke']",1
"['ayo', 'kakak', 'beli', 'sari', 'roti', 'kayak', 'endorse']",1
"['iya', 'kakak', 'iklan', 'igstory', 'muncul', 'akun', 'harga', 'mahal', 'berbayar', 'mempromosikan', 'udah', 'post', 'follow', 'akun', 'post', 'lihat', 'murah']",1
"['harga', 'endorse', 'mahal', 'banget', 'anjing']",1
"['endorse', 'dikasih', 'terbaik', 'harga', 'banget', 'dikasih', 'story']",1
"['barang', 'langsung', 'ulasan', 'kakak', 'vanessaangel', 'baget', 'postingan', 'langsung', 'menghapus', 'post', 'ulang', 'bangga', 'selebgram', 'menagih', 'berbulan', 'kirim', 'bareng', 'hilang']",1
"['baca', 'sih', 'endorse', 'bener', 'mengambil', 'dikasih', 'story', 'tenang', 'disana']",1
"['harga', 'rendah', 'juta', 'harga', 'endorse', 'story', 'gaada', 'setengahnya', 'harga', 'followers', 'setengahnya', 'harga', 'endorse', 'story', 'rendah', 'juta', 'salah', 'juta', 'ketawa']",1
"['kawan', 'promosi', 'endorsement', 'bener', 'berpengalaman', 'ramah', 'banget']",1
"['konteks', 'endorsement']",1
"['anjir', 'takut', 'banget', 'centangnya', 'buka', 'endorse', 'whatsapp']",1
"['buka', 'endorse', 'sobat']",1
"['gamampu', 'bayar', 'menunggu', 'endorse']",1
"['buka', 'endorse', 'mer', 'pas']",1
"['iya', 'catatan', 'ulasan', 'lirik', 'biar', 'mengandung', 'eksplisit']",1
"['kayaknya', 'influencer', 'hadeh', 'ibunda', 'anjir', 'seram', 'banget', 'pengiring', 'pendapat', 'terbayang', 'habis', 'kodam', 'memindai', 'teriak', 'positif', 'pribadi', 'pasrah']",1
"['baca', 'kritikan', 'pasal', 'siri', 'megah', 'abad', 'cari', 'bahan', 'baca', 'sultan', 'sulaiman', 'qanuni', 'kerjaan', 'turki', 'endorse', 'cerita', 'lihat', 'cerita', 'terbit', 'merilis', 'ertugrul', 'kurulus', 'osman']",1
"['menampak', 'orang', 'berbagi', 'lee', 'zii', 'jia', 'pon', 'endorse', 'menyebabkan', 'game', 'penjual', 'fans', 'percaya', 'beli', 'kena', 'rontok', 'baju', 'kerfuffle', 'ketawa']",1
"['kayak', 'iya', 'hadeh', 'lucas', 'kayak', 'endorse', 'produk']",0
"['endorse', 'koh']",1
"['kirim', 'barang', 'coba', 'enak', 'mintol', 'ulasan', 'suka', 'ulasan', 'gapapa', 'terima kasih']",1
"['hasil', 'endorse', 'pacaran', 'belain', 'berpakaian', 'pakaian', 'maskotnya', 'pas', 'halloween', 'ketawa']",1
"['endorse', 'ketawa']",1
"['endorse', 'menikmati', 'banget', 'kayak', 'endorse', 'kayak', 'endorse', 'konten', 'ngakak', 'mulu', 'endorse', 'jail', 'pakmuh', 'tertawa', 'selebgram', 'follow', 'asli', 'menghibur']",1
"['iya', 'senang', 'banget', 'lihat', 'fadiljaidi', 'rachelvennya', 'rachelvennya', 'endorse', 'yampun', 'konten', 'heran', 'keren', 'banget', 'fadiljaidi', 'candaan', 'lucu', 'parah', 'gamau', 'melewati', 'endorse', 'konten', 'endorse', 'niat', 'konsep', 'video']",1
"['mjb', 'endorse', 'jualan', 'produk']",1
"['mood', 'banget', 'fadiljaidi', 'endorse', 'parsah']",1
"['kakak', 'fadiljaidi', 'shani', 'endorse', 'berguna', 'kemana', 'detail', 'racun', 'banget', 'pokoknya', 'endorse', 'makanan']",1
"['iyak', 'teman', 'endorse', 'fadiljaidi', 'bernilai', 'parah', 'pendapat']",0
"['ketawa', 'endorse', 'banget', 'parsah']",1
"['bilang', 'artis', 'endorse', 'covid', 'gimana', 'paham', 'jerinxsid']",1
"['endorse', 'nih']",1
"['artis', 'endorse', 'artis', 'disuruh', 'uang']",1
"['silahkan', 'endorse']",1
